iter	Passed	Remaining
181	822	3698
182	829	3702
183	833	3696
184	838	3694
185	843	3689
186	847	3683
187	851	3678
188	856	3675
189	860	3670
190	865	3664
191	869	3659
192	873	3653
193	878	3648
194	882	3642
195	886	3637
196	891	3633
197	895	3627
198	899	3621
199	904	3617
200	908	3610
201	912	3605
202	917	3600
203	922	3599
204	927	3595
205	936	3608
206	941	3605
207	945	3600
208	949	3595
209	956	3598
210	962	3599
211	967	3595
212	974	3599
213	979	3596
214	984	3595
215	989	3591
216	994	3587
217	999	3586
218	1004	3583
219	1009	3579
220	1015	3580
221	1020	3578
222	1025	3573
223	1035	3588
224	1041	3587
225	1046	3583
226	1051	3581
227	1056	3577
228	1060	3569
229	1063	3562
230	1067	3553
231	1071	3545
232	1074	3538
233	1078	3531
234	1082	3523
235	1086	3516
236	1089	3508
237	1093	3500
238	1097	3493
239	1100	3485
240	1105	3480
241	1109	3474
242	1112	3467
243	1116	3459
244	1120	3452
245	1123	3444
246	1127	3437
247	1130	3428
248	1134	3421
249	1137	3413
250	1141	3406
251	1145	3399
252	1148	3391
253	1152	3383
254	1155	3376
255	1159	3369
256	1163	3363
257	1167	3357
258	1171	3352
259	1175	3346
260	1179	3340
261	1183	3334
262	1187	3328
263	1192	3323
264	1196	3317
265	1200	3312
266	1204	3306
267	1208	3301
268	1212	3296
269	1217	3291
270	1221	3285
271	1225	3281
272	1230	3276
273	1234	3272
274	1241	3273
275	1246	3268
276	1250	3263
277	1254	3258
278	1258	3253
279	1263	3247
280	1267	3243
281	1271	3237
282	1275	3232
283	1280	3227
284	1284	3221
285	1288	3217
286	1293	3214
287	1297	3208
288	1303	3207
289	1308	3203
290	1312	3197
291	1317	3194
292	1321	3189
293	1329	3193
294	1335	3192
295	1340	3188
296	1344	3182
297	1348	3176
298	1352	3171
299	1356	3166
300	1361	3162
301	1366	3157
302	1371	3155
303	1377	3152
304	1381	3148
305	1396	3167
306	1403	3168
307	1408	3165
308	1414	3163
309	1421	3163
310	1429	3166
311	1433	3161
312	1438	3156
313	1442	3151
314	1446	3146
315	1453	3145
316	1457	3141
317	1462	3136
318	1466	3130
319	1470	3125
320	1474	3119
321	1478	3114
322	1483	3109
323	1487	3103
324	1491	3098
325	1496	3093
326	1503	3095
327	1508	3090
328	1512	3084
329	1517	3081
330	1521	3075
331	1525	3070
332	1532	3069
333	1536	3064
334	1540	3058
335	1545	3053
336	1551	3052
337	1557	3050
338	1562	3045
339	1566	3041
340	1570	3035
341	1574	3030
342	1579	3025
343	1583	3019
344	1587	3013
345	1591	3008
346	1595	3002
347	1599	2996
348	1603	2991
349	1607	2985
350	1612	2980
351	1616	2975
352	1625	2980
353	1630	2975
354	1636	2972
355	1646	2978
356	1649	2971
357	1653	2965
358	1657	2959
359	1661	2954
360	1666	2949
361	1670	2943
362	1673	2937
363	1677	2930
364	1681	2924
365	1684	2918
366	1688	2911
367	1691	2905
368	1695	2898
369	1698	2892
370	1702	2886
371	1705	2879
372	1709	2873
373	1712	2866
374	1716	2860
375	1719	2854
376	1723	2848
377	1727	2842
378	1730	2836
379	1734	2829
380	1737	2823
381	1741	2817
382	1745	2812
383	1749	2806
384	1754	2802
385	1758	2797
386	1762	2791
387	1766	2786
388	1770	2781
389	1774	2776
390	1778	2770
391	1782	2765
392	1787	2760
393	1791	2754
394	1795	2749
395	1799	2744
396	1803	2739
397	1808	2734
398	1812	2729
399	1817	2725
400	1823	2723
401	1827	2718
402	1833	2715
403	1837	2711
404	1842	2706
405	1846	2702
406	1851	2697
407	1856	2693
408	1860	2689
409	1866	2685
410	1871	2682
411	1881	2685
412	1889	2685
413	1894	2681
414	1899	2677
415	1907	2677
416	1912	2673
417	1917	2669
418	1921	2665
419	1926	2660
420	1930	2655
421	1936	2651
422	1940	2647
423	1945	2642
424	1950	2638
425	1954	2633
426	1959	2629
427	1966	2628
428	1971	2624
429	1977	2621
430	1984	2619
431	1989	2615
432	1995	2612
433	2000	2609
434	2004	2604
435	2009	2599
436	2013	2593
437	2017	2588
438	2021	2583
439	2025	2578
440	2029	2573
441	2034	2567
442	2038	2562
443	2043	2558
444	2047	2553
445	2051	2548
446	2058	2546
447	2064	2543
448	2068	2538
449	2072	2532
450	2076	2527
451	2081	2523
452	2085	2517
453	2089	2512
454	2093	2507
455	2097	2501
456	2101	2496
457	2105	2491
458	2109	2486
459	2113	2481
460	2119	2478
461	2124	2473
462	2131	2471
463	2135	2466
464	2140	2462
465	2145	2458
466	2150	2454
467	2155	2449
468	2161	2446
469	2165	2441
470	2169	2436
471	2173	2431
472	2177	2426
473	2181	2420
474	2185	2415
475	2189	2409
476	2193	2405
477	2197	2400
478	2201	2394
479	2206	2390
480	2210	2385
481	2217	2382
482	2224	2380
483	2228	2375
484	2232	2370
485	2235	2364
486	2239	2359
487	2243	2353
488	2246	2347
489	2250	2342
490	2254	2336
491	2257	2331
492	2261	2325
493	2264	2319
494	2268	2314
495	2272	2309
496	2276	2304
497	2280	2299
498	2284	2293
499	2288	2288
500	2292	2282
501	2295	2277
502	2299	2272
503	2303	2267
504	2307	2261
505	2311	2256
506	2314	2250
507	2318	2245
508	2323	2240
509	2326	2235
510	2330	2230
511	2334	2224
512	2338	2220
513	2346	2218
514	2350	2213
515	2354	2208
516	2359	2203
517	2363	2199
518	2367	2194
519	2372	2189
520	2376	2184
521	2380	2179
522	2384	2174
523	2388	2169
524	2392	2165
525	2397	2160
526	2401	2155
527	2405	2150
528	2410	2145
529	2414	2140
530	2419	2136
531	2423	2132
532	2427	2127
533	2431	2122
534	2436	2117
535	2440	2112
536	2445	2108
537	2449	2103
538	2453	2098
539	2458	2093
540	2463	2090
541	2471	2088
542	2481	2088
543	2487	2085
544	2492	2081
545	2499	2078
546	2505	2074
547	2650	2185
548	2656	2182
549	2660	2177
550	2666	2173
551	2672	2168
552	2677	2164
553	2685	2161
554	2690	2157
555	2696	2153
556	2701	2148
557	2706	2143
558	2710	2138
559	2716	2134
560	2721	2129
561	2725	2124
562	2730	2119
563	2735	2114
564	2739	2109
565	2744	2104
566	2748	2099
567	2752	2093
568	2757	2088
569	2762	2083
570	2766	2078
571	2770	2073
572	2775	2068
573	2779	2062
574	2784	2057
575	2788	2052
576	2793	2047
577	2798	2042
578	2803	2038
579	2807	2033
580	2813	2028
581	2817	2023
582	2822	2018
583	2827	2013
584	2832	2009
585	2836	2003
586	2840	1998
587	2844	1993
588	2849	1988
589	2853	1982
590	2857	1977
591	2861	1972
592	2865	1966
593	2869	1961
594	2873	1956
595	2878	1950
596	2883	1946
597	2890	1942
598	2894	1937
599	2898	1932
600	2902	1927
601	2908	1923
602	2913	1918
603	2955	1937
604	2963	1934
605	2969	1930
606	2974	1925
607	2979	1920
608	2984	1916
609	2990	1911
610	2995	1907
611	3003	1904
612	3009	1899
613	3014	1895
614	3021	1891
615	3026	1886
616	3030	1881
617	3036	1877
618	3041	1872
619	3046	1867
620	3050	1862
621	3055	1856
622	3059	1851
623	3064	1846
624	3068	1841
625	3073	1836
626	3077	1830
627	3081	1825
628	3086	1820
629	3090	1814
630	3094	1809
631	3099	1804
632	3103	1799
633	3108	1794
634	3112	1788
635	3117	1784
636	3121	1779
637	3126	1773
638	3130	1768
639	3135	1763
640	3139	1758
641	3143	1752
642	3147	1747
643	3152	1742
644	3157	1737
645	3162	1732
646	3167	1727
647	3171	1722
648	3176	1718
649	3181	1713
650	3186	1708
651	3191	1703
652	3196	1698
653	3200	1693
654	3205	1688
655	3210	1683
656	3215	1678
657	3220	1673
658	3225	1669
659	3230	1663
660	3234	1658
661	3238	1653
662	3243	1648
663	3248	1643
664	3252	1638
665	3258	1633
666	3263	1629
667	3271	1626
668	3276	1621
669	3286	1618
670	3291	1613
671	3296	1608
672	3300	1603
673	3305	1598
674	3310	1593
675	3314	1588
676	3318	1583
677	3324	1578
678	3328	1573
679	3332	1568
680	3337	1563
681	3341	1558
682	3345	1552
683	3350	1547
684	3355	1542
685	3359	1537
686	3364	1532
687	3369	1527
688	3373	1522
689	3378	1517
690	3383	1512
691	3388	1508
692	3392	1502
693	3397	1497
694	3401	1492
695	3406	1487
696	3410	1482
697	3416	1478
698	3420	1473
699	3425	1467
700	3429	1462
701	3433	1457
702	3437	1452
703	3442	1447
704	3446	1442
705	3452	1437
706	3456	1432
707	3460	1427
708	3465	1422
709	3469	1416
710	3473	1411
711	3477	1406
712	3481	1401
713	3485	1396
714	3489	1390
715	3493	1385
716	3498	1380
717	3502	1375
718	3506	1370
719	3518	1368
720	3523	1363
721	3528	1358
722	3534	1354
723	3538	1348
724	3542	1343
725	3547	1338
726	3551	1333
727	3555	1328
728	3559	1323
729	3563	1317
730	3567	1312
731	3572	1308
732	3578	1303
733	3583	1298
734	3588	1293
735	3593	1289
736	3598	1284
737	3602	1279
738	3607	1273
739	3612	1269
740	3616	1264
741	3620	1259
742	3625	1254
743	3630	1249
744	3636	1244
745	3641	1239
746	3646	1234
747	3650	1229
748	3654	1224
749	3659	1219
750	3662	1214
751	3666	1209
752	3670	1203
753	3674	1198
754	3677	1193
755	3681	1188
756	3685	1182
757	3688	1177
758	3692	1172
759	3695	1167
760	3699	1161
761	3703	1156
762	3708	1151
763	3711	1146
764	3715	1141
765	3718	1136
766	3722	1130
767	3726	1125
768	3729	1120
769	3733	1115
770	3737	1110
771	3741	1105
772	3746	1100
773	3749	1094
774	3753	1089
775	3756	1084
776	3760	1079
777	3764	1074
778	3767	1068
779	3771	1063
780	3774	1058
781	3778	1053
782	3782	1048
783	3785	1043
784	3789	1037
785	3793	1032
786	3796	1027
787	3800	1022
788	3803	1017
789	3807	1012
790	3810	1006
791	3814	1001
792	3818	996
793	3821	991
794	3825	986
795	3828	981
796	3832	976
797	3835	970
798	3839	965
799	3842	960
800	3846	955
801	3850	950
802	3853	945
803	3857	940
804	3860	935
805	3864	930
806	3868	925
807	3871	920
808	3875	914
809	3878	909
810	3882	904
811	3886	899
812	3889	894
813	3893	889
814	3896	884
815	3901	879
816	3904	874
817	3908	869
818	3912	864
819	3916	859
820	3919	854
821	3923	849
822	3927	844
823	3931	839
824	3934	834
825	3938	829
826	3941	824
827	3946	819
828	3949	814
829	3954	809
830	3957	804
831	3961	799
832	3964	794
833	3968	789
834	3972	784
835	3975	779
836	3979	774
837	3982	769
838	3986	764
839	3990	760
840	3993	755
841	3997	750
842	4000	745
843	4004	740
844	4008	735
845	4011	730
846	4015	725
847	4018	720
848	4022	715
849	4026	710
850	4029	705
851	4033	700
852	4036	695
853	4040	690
854	4043	685
855	4047	680
856	4051	675
857	4054	671
858	4057	666
859	4061	661
860	4065	656
861	4068	651
862	4072	646
863	4075	641
864	4079	636
865	4083	631
866	4086	626
867	4090	622
868	4094	617
869	4097	612
870	4101	607
871	4105	602
872	4108	597
873	4112	592
874	4115	587
875	4119	583
876	4123	578
877	4126	573
878	4129	568
879	4133	563
880	4137	558
881	4140	553
882	4145	549
883	4149	544
884	4154	539
885	4158	535
886	4164	530
887	4168	525
888	4173	521
889	4177	516
890	4181	511
891	4185	506
892	4190	502
893	4193	497
894	4197	492
895	4200	487
896	4204	482
897	4208	477
898	4211	473
899	4215	468
900	4218	463
901	4222	458
902	4226	453
903	4229	449
904	4233	444
905	4237	439
906	4240	434
907	4244	430
908	4247	425
909	4251	420
910	4255	415
911	4258	410
912	4262	406
913	4265	401
914	4269	396
915	4272	391
916	4276	387
917	4280	382
918	4283	377
919	4287	372
920	4290	368
921	4294	363
922	4298	358
923	4301	353
924	4304	349
925	4308	344
926	4312	339
927	4315	334
928	4319	330
929	4322	325
930	4326	320
931	4330	315
932	4334	311
933	4337	306
934	4340	301
935	4344	297
936	4348	292
937	4352	287
938	4356	282
939	4359	278
940	4363	273
941	4366	268
942	4370	264
943	4373	259
944	4377	254
945	4381	250
946	4384	245
947	4388	240
948	4392	236
949	4395	231
950	4399	226
951	4403	222
952	4406	217
953	4410	212
954	4413	207
955	4417	203
956	4420	198
957	4424	193
958	4428	189
959	4432	184
960	4435	180
961	4439	175
962	4442	170
963	4446	166
964	4450	161
965	4454	156
966	4457	152
967	4461	147
968	4465	142
969	4468	138
970	4472	133
971	4475	128
972	4479	124
973	4482	119
974	4486	115
975	4489	110
976	4493	105
977	4497	101
978	4500	96
979	4504	91
980	4507	87
981	4511	82
982	4514	78
983	4518	73
984	4522	68
985	4525	64
986	4529	59
987	4532	55
988	4536	50
989	4540	45
990	4543	41
991	4547	36
992	4550	32
993	4554	27
994	4558	22
995	4562	18
996	4566	13
997	4569	9
998	4573	4
999	4576	0
